division,round,instance,matchnum,red1,red2,red3,blue1,blue2,blue3,redscore,bluescore,redsit,bluesit,scored,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,50,798A,2625A,,6181A,5447A,,17,26,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,51,9421,6091A,,1615B,632A,,17,35,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,52,2865A,798M,,246A,2600C,,42,10,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,53,2625C,2606C,,4898A,2442C,,3,18,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,54,2606A,1615A,,2625,44,,30,80,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,55,6916E,6181B,,632B,246,,18,46,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,56,3010A,2600B,,6769A,2442D,,49,45,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,57,4898B,2606B,,2442A,6916D,,18,36,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,58,4886A,2600A,,2442B,2625B,,51,17,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,59,8813A,6769B,,6916E,2600C,,34,14,,,TRUE,Red,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,
1,3,1,1,,44,1615A,2442C,246A,2442D,2442B,70,23,2442C,2442D,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,3,1,2,,44,1615A,2442C,246A,2442D,2442B,36,27,1615A,2442B,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
